model_name,cv,system,percentile,latency
OPT-66B,0.1,Roger,95th,0.6917991259499998
OPT-66B,1,Cocktail,95th,2.3086478796499983
OPT-66B,1,InferLine,95th,2.01901214275
OPT-66B,1,Roger,95th,0.9933035505999999
OPT-66B,2,Cocktail,95th,4.141979672699998
OPT-66B,2,InferLine,95th,3.0957483347499997
OPT-66B,2,Roger,95th,1.47363052505
OPT-66B,4,Cocktail,95th,5.00038434735
OPT-66B,4,InferLine,95th,4.7903930132
OPT-66B,4,Roger,95th,3.0805227872999987
BERT-21B,0.1,Cocktail,97th,0.64977648772
BERT-21B,0.1,InferLine,97th,0.6738111502399999
BERT-21B,0.1,Roger,97th,0.54541824792
BERT-21B,1,Cocktail,97th,1.8450995572799995
BERT-21B,1,InferLine,97th,1.74400189161
BERT-21B,1,Roger,97th,0.7398359576499999
BERT-21B,2,Cocktail,97th,4.20696361061
BERT-21B,2,InferLine,97th,4.6404232822099996
BERT-21B,2,Roger,97th,1.3306846033799997
BERT-21B,4,Cocktail,97th,5.00127210965
BERT-21B,4,InferLine,97th,5.0012821791199995
BERT-21B,4,Roger,97th,4.018354073089995
OPT-66B,0.1,Cocktail,97th,1.5416013899999998
OPT-66B,0.1,InferLine,97th,1.57151853587
OPT-66B,0.1,Roger,97th,0.7222584523
OPT-66B,1,Cocktail,97th,2.6368797697699993
OPT-66B,1,InferLine,97th,2.2083311439099993
OPT-66B,1,Roger,97th,1.0569782471
OPT-66B,2,Cocktail,97th,4.40451170971
OPT-66B,2,InferLine,97th,3.38644303971
OPT-66B,2,Roger,97th,1.6061776794399998
OPT-66B,4,Cocktail,97th,5.00077305887
OPT-66B,4,InferLine,97th,5.000216491200001
OPT-66B,4,Roger,97th,3.5397539285399997
BERT-21B,0.1,Cocktail,98th,0.7122052168199996
BERT-21B,0.1,InferLine,98th,0.724806183159999
BERT-21B,0.1,Roger,98th,0.5563485149199999
BERT-21B,1,Cocktail,98th,1.9910080893799977
BERT-21B,1,InferLine,98th,1.8291776789799987
BERT-21B,1,Roger,98th,0.7749758635999995
BERT-21B,2,Cocktail,98th,4.4185451499399955
BERT-21B,2,InferLine,98th,4.82009753298
BERT-21B,2,Roger,98th,1.4642511704799992
BERT-21B,4,Cocktail,98th,5.0013267612000005
BERT-21B,4,InferLine,98th,5.0013486902199995
BERT-21B,4,Roger,98th,4.394586363839997
OPT-66B,0.1,Cocktail,98th,1.615781496239999
OPT-66B,0.1,InferLine,98th,1.6551572480199983
OPT-66B,0.1,Roger,98th,0.74515604924
OPT-66B,1,Cocktail,98th,2.8726076290399996
OPT-66B,1,InferLine,98th,2.3241367081999997
OPT-66B,1,Roger,98th,1.1139451762599997
OPT-66B,2,Cocktail,98th,4.4427848360599995
OPT-66B,2,InferLine,98th,3.59196117272
OPT-66B,2,Roger,98th,1.7025927665399991
OPT-66B,4,Cocktail,98th,5.0009464598
OPT-66B,4,InferLine,98th,5.00054839698
OPT-66B,4,Roger,98th,3.8320247674999974
BERT-21B,0.1,Cocktail,99th,0.8341522367600002
BERT-21B,0.1,InferLine,99th,0.8306655943300003
BERT-21B,0.1,Roger,99th,0.57868282676
BERT-21B,1,Cocktail,99th,2.2217656652500017
BERT-21B,1,InferLine,99th,2.0164558094600022
BERT-21B,1,Roger,99th,0.8306133404000001
BERT-21B,2,Cocktail,99th,4.86165620928
BERT-21B,2,InferLine,99th,5.0006124953999995
BERT-21B,2,Roger,99th,1.9070843857500015
BERT-21B,4,Cocktail,99th,5.0014215926
BERT-21B,4,InferLine,99th,5.001518657289999
BERT-21B,4,Roger,99th,4.75065535569001
OPT-66B,0.1,Cocktail,99th,1.7230453031000001
OPT-66B,0.1,InferLine,99th,1.7755860909400012
OPT-66B,0.1,Roger,99th,0.7844203806600003
OPT-66B,1,Cocktail,99th,3.2189262993500014
OPT-66B,1,InferLine,99th,2.5773110866
OPT-66B,1,Roger,99th,1.2001796646600005
OPT-66B,2,Cocktail,99th,4.537853328730001
OPT-66B,2,InferLine,99th,3.8558093283700003
OPT-66B,2,Roger,99th,1.8364891542800015
OPT-66B,4,Cocktail,99th,5.00114305526
OPT-66B,4,InferLine,99th,5.0008841978000005
OPT-66B,4,Roger,99th,4.214440420280004
