system,cv,me
cocktail,0.1,99.99318010380149
cocktail,1,98.98521139796013
cocktail,2,93.1999517102714
cocktail,4,79.72972433785681
inferline,0.1,99.99268171903383
inferline,1,99.45797637048462
inferline,2,94.48617104489144
inferline,4,84.77788790805783
roger,0.1,99.9937554005129
roger,1,100.0
roger,2,99.99430611684052
roger,4,99.13852690169465
