system,model_name,response_latency,speed_up
Cocktail,BERT-21B,2.7917928318953265,0.5184784819902802
Cocktail,BERT-QA,0.05090924681332883,0.007693691068525587
Cocktail,LLAMA-7B,1.1778639538171756,0.7286816213125668
Cocktail,OPT-66B,2.503565435820415,0.35942376404593723
Cocktail,Resnet-152,0.052703333402767,0.0
Cocktail,Resnet-50,0.043681331650312134,0.005269389260949824
InferLine,BERT-21B,2.7255963570907373,0.5067837837082423
InferLine,BERT-QA,0.05058279734614476,0.0012895797336516571
InferLine,LLAMA-7B,1.086543979323334,0.7058783221429583
InferLine,OPT-66B,2.403351920790248,0.3327134035305107
InferLine,Resnet-152,0.05271488009937574,0.00021904055528489794
InferLine,Resnet-50,0.04347884898876329,0.0006368907870687115
Roger,BERT-21B,1.344308322382892,0.0
Roger,BERT-QA,0.05051756679581576,0.0
Roger,LLAMA-7B,0.3195761382640459,0.0
Roger,OPT-66B,1.6037245233425341,0.0
Roger,Resnet-152,0.05369642903084191,0.01849463076035282
Roger,Resnet-50,0.04345115771040999,0.0
