0,1711354453,50,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
1,1711354458,50,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
2,1711354463,50,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
3,1711354468,50,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
4,1711354473,0,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
5,1711354478,0,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
6,1711354483,0,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
7,1711354488,0,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
8,1711354493,0,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
9,1711354498,0,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
10,1711354503,79,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
11,1711354508,79,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
12,1711354513,79,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
13,1711354518,79,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
14,1711354523,79,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
15,1711354528,79,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
16,1711354533,17,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
17,1711354538,17,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
18,1711354543,17,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
19,1711354548,17,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
20,1711354553,17,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
21,1711354558,17,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
22,1711354563,47,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
23,1711354568,47,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
24,1711354573,47,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
25,1711354578,47,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
26,1711354583,47,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
27,1711354588,47,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
28,1711354593,44,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
29,1711354598,44,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
30,1711354603,44,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
31,1711354608,44,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
32,1711354613,44,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
33,1711354618,44,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
34,1711354623,78,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
35,1711354628,78,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
36,1711354633,78,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
37,1711354638,78,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
38,1711354643,78,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
39,1711354648,78,node_gpu_util,cc240,,0,NVIDIA A40,667446fa-59ed-4e38-a5d2-e1c3a817a1aa,2_0.075_600
